species,number_of_individuals,longitude_ves,latitude_ves,site_id,date
racl,1,-83.93990314,35.93574551,2,3/23/23
pscr,1,-83.93984882,35.93575845,2,3/23/23
pscr,1,-83.93982769,35.93574029,2,3/23/23
racl,1,-83.93980713,35.93568857,2,3/23/23
pscr,3,-83.93994193,35.9356091,2,3/23/23
pscr,1,-83.93995321,35.93562681,2,3/23/23
pscr,1,-83.93997837,35.93569721,2,3/23/23
racl,1,-83.93982564,35.93570437,2,3/23/23
pscr,5,-83.9399065,35.93568552,2,3/23/23
pscr,1,-83.93995232,35.93568372,2,3/23/23
pscr,1,-83.94010091,35.93562202,2,3/23/23
pscr,1,-83.94000914,35.93571162,2,3/23/23
pscr,1,-83.93994313,35.93571498,2,3/23/23
pscr,1,-83.94005237,35.93571075,2,3/23/23
pscr,1,-83.93997596,35.93573684,2,3/23/23
pscr,2,-83.94010232,35.93576169,2,3/23/23
psfe,1,-83.94006296,35.93576387,2,3/23/23
pscr,1,-83.93998346,35.93576913,2,3/23/23
pscr,1,-83.94015833,35.93577379,2,3/23/23
pscr,1,-83.94007588,35.93581655,2,3/23/23
pscr,1,-83.93995341,35.93580156,2,3/23/23
racl,1,-83.94007963,35.93575379,2,3/23/23
pscr,3,-83.94010147,35.93569965,2,3/23/23
pscr,1,-83.93993031,35.93584179,2,3/23/23
pscr,1,-83.94014105,35.93580609,2,3/23/23
pscr,2,-83.94003253,35.93580319,2,3/23/23
pscr,3,-83.94009708,35.93586175,2,3/23/23
pscr,1,-83.93996218,35.93576072,2,3/23/23
pscr,1,-83.94009724,35.93581655,2,3/23/23
racl,1,-83.93994371,35.93578418,2,3/23/23
pscr,2,-83.94006141,35.93586614,2,3/23/23
racl,1,-83.93999727,35.93574688,2,3/23/23
pscr,2,-83.94004364,35.93569958,2,3/23/23
pscr,2,-83.93999833,35.93581987,2,3/23/23
pscr,1,-83.94017494,35.93570535,2,3/23/23
pscr,1,-83.94009531,35.9357697,2,3/23/23
pscr,1,-83.93996374,35.93558377,2,3/23/23
pscr,1,-83.9399865,35.9357203,2,3/23/23
pscr,2,-83.93977154,35.93567644,2,3/23/23
pscr,1,-83.93992394,35.93574042,2,3/23/23
pscr,2,-83.93978539,35.93579823,2,3/23/23
pscr,1,-83.94008819,35.93575414,2,3/23/23
pscr,1,-83.94005905,35.93567696,2,3/23/23
pscr,1,-83.94017382,35.93582225,2,3/23/23
pscr,1,-83.94015623,35.93570562,2,3/23/23
racl,1,-83.86831233,35.95672419,7,3/28/23
racl,2,-83.86829422,35.95670199,7,3/28/23
pscr,1,-83.86815015,35.95687409,7,3/28/23
racl,1,-83.86825614,35.95675716,7,3/28/23
racl,2,-83.86831226,35.9567618,7,3/28/23
racl,1,-83.86834231,35.95665697,7,3/28/23
racl,1,-83.86831669,35.95677559,7,3/28/23
racl,1,-83.86825516,35.95673749,7,3/28/23
racl,1,-83.86837611,35.95670638,7,3/28/23
racl,2,-83.86807408,35.95676412,7,3/28/23
racl,4,-83.86837197,35.95676336,7,3/28/23
racl,2,-83.86978704,35.95698229,NA,NA
racl,1,-83.86973585,35.95689824,NA,NA
racl,1,-83.8697773,35.95691493,NA,NA
racl,1,-83.86977435,35.95698232,NA,NA
racl,1,-83.86940656,35.95784805,10,3/28/23
racl,1,-83.86922131,35.9577762,10,3/28/23
racl,1,-83.86933934,35.95788153,10,3/28/23
racl,1,-83.86921257,35.95781578,10,3/28/23
novi,2,-83.86935429,35.95780163,10,3/28/23
racl,1,-83.86931575,35.95775143,10,3/28/23
novi,1,-83.86933894,35.95785493,10,3/28/23
novi,1,-83.86920481,35.95777854,10,3/28/23
novi,1,-83.86919693,35.9578111,10,3/28/23
racl,1,-83.869258,35.95776107,10,3/28/23
racl,1,-83.86920516,35.95782428,10,3/28/23
racl,2,-83.86942136,35.95780753,10,3/28/23
novi,1,-83.86936154,35.957787,10,3/28/23
novi,3,-83.86922994,35.95780344,10,3/28/23
racl,2,-83.8697501,35.95692847,NA,NA
racl,2,-83.86975711,35.95696532,NA,NA
racl,2,-83.86980796,35.95687304,NA,NA
racl,1,-83.86933196,35.95778188,10,3/28/23
novi,1,-83.86920027,35.95780672,10,3/28/23
novi,1,-83.86930804,35.95775722,10,3/28/23
novi,1,-83.86931982,35.95777689,10,3/28/23
racl,1,-83.86918217,35.95780008,10,3/28/23
novi,2,-83.86926088,35.95784436,10,3/28/23
racl,1,-83.8692561,35.95776817,10,3/28/23
novi,1,-83.86936475,35.95782802,10,3/28/23
racl,1,-83.8693932,35.95783496,10,3/28/23
racl,2,-83.86921094,35.95782864,10,3/28/23
racl,2,-83.86924985,35.9577573,10,3/28/23
racl,1,-83.86817695,35.95674037,7,3/30/23
rapa,1,-83.86820851,35.95675525,7,3/30/23
racl,1,-83.86833469,35.95668017,7,3/30/23
racl,1,-83.86834293,35.95667495,7,3/30/23
racl,1,-83.86814445,35.95677359,7,3/30/23
racl,1,-83.86812184,35.95672853,7,3/30/23
racl,1,-83.86819289,35.9568111,7,3/30/23
racl,1,-83.8683322,35.956772,7,3/30/23
racl,1,-83.86823848,35.95679745,7,3/30/23
racl,1,-83.86822826,35.95667747,7,3/30/23
racl,1,-83.86820274,35.95679991,7,3/30/23
racl,1,-83.86838003,35.95678389,7,3/30/23
racl,2,-83.86828646,35.95666872,7,3/30/23
racl,1,-83.86818121,35.95683581,7,3/30/23
racl,1,-83.8683105,35.95675353,7,3/30/23
racl,1,-83.8697228,35.95693356,NA,NA
racl,2,-83.86971862,35.95691225,NA,NA
racl,1,-83.86971362,35.95694812,NA,NA
racl,1,-83.86977384,35.9569359,NA,NA
novi,1,-83.86926312,35.95783246,10,3/30/23
novi,1,-83.86923176,35.95784039,10,3/30/23
racl,1,-83.86918761,35.95784208,10,3/30/23
novi,1,-83.86933872,35.95782641,10,3/30/23
racl,1,-83.86913774,35.95776512,10,3/30/23
racl,1,-83.86918204,35.95775127,10,3/30/23
racl,1,-83.86913947,35.95781129,10,3/30/23
novi,1,-83.86920537,35.95779174,10,3/30/23
racl,1,-83.86922475,35.95785069,10,3/30/23
raca,1,-83.877128,35.93329251,15,4/11/23
racl,4,-83.87724707,35.93318847,15,4/11/23
pscr,3,-83.87698201,35.9331827,15,4/11/23
racl,2,-83.87689799,35.9332684,15,4/11/23
racl,4,-83.87672291,35.93337673,15,4/11/23
pscr,1,-83.87729735,35.93309868,15,4/11/23
raca,1,-83.87709618,35.93327852,15,4/11/23
racl,3,-83.87706224,35.93325183,15,4/11/23
pscr,1,-83.87730837,35.93314931,15,4/11/23
racl,4,-83.87726945,35.93316858,15,4/11/23
raca,1,-83.87665103,35.93336421,15,4/11/23
pscr,1,-83.8767477,35.93327141,15,4/11/23
pscr,1,-83.87718071,35.93315232,15,4/11/23
raca,1,-83.87661913,35.93338498,15,4/11/23
racl,2,-83.87716424,35.93318006,15,4/11/23
racl,3,-83.87739885,35.93319807,15,4/11/23
racl,1,-83.87665782,35.93336716,15,4/11/23
pscr,2,-83.87677361,35.93328663,15,4/11/23
raca,1,-83.87683664,35.9333754,15,4/11/23
pscr,1,-83.87749918,35.93330695,15,4/11/23
pscr,2,-83.876589,35.93343297,15,4/11/23
raca,1,-83.87658728,35.93342286,15,4/11/23
raca,1,-83.87692773,35.93334427,15,4/11/23
raca,1,-83.87709425,35.93332476,15,4/11/23
racl,1,-83.87700488,35.93336844,15,4/11/23
raca,1,-83.87664068,35.93347488,15,4/11/23
racl,2,-83.87748971,35.93337694,15,4/11/23
pscr,1,-83.87750714,35.9334429,15,4/11/23
racl,1,-83.87735801,35.9333275,15,4/11/23
raca,1,-83.87735274,35.93326332,15,4/11/23
pscr,2,-83.87679725,35.933433,15,4/11/23
raca,1,-83.87673785,35.93344814,15,4/11/23
pscr,1,-83.87725085,35.93331541,15,4/11/23
raca,1,-83.87683466,35.93337527,15,4/11/23
racl,1,-83.87665533,35.93333182,15,4/11/23
raca,1,-83.87712302,35.93331432,15,4/11/23
racl,1,-83.8767776,35.9333938,15,4/11/23
pscr,3,-83.87708863,35.93331491,15,4/11/23
pscr,1,-83.87677176,35.93340677,15,4/11/23
racl,1,-83.87738578,35.9332299,15,4/11/23
pscr,1,-83.87733412,35.9333375,15,4/11/23
raca,1,-83.87677944,35.9334274,15,4/11/23
racl,1,-83.87664863,35.93335973,15,4/11/23
racl,1,-83.8768499,35.93338397,15,4/11/23
pscr,1,-83.87714293,35.93331946,15,4/11/23
racl,1,-83.87736644,35.93339393,15,4/11/23
pscr,1,-83.87718195,35.93327602,15,4/11/23
pscr,1,-83.87737568,35.93327336,15,4/11/23
raca,1,-83.87717694,35.93331972,15,4/11/23
racl,3,-83.87720201,35.93330956,15,4/11/23
racl,1,-83.87668398,35.93349016,15,4/11/23
raca,1,-83.876879,35.93330678,15,4/11/23
racl,1,-83.87703555,35.93331519,15,4/11/23
raca,1,-83.87691701,35.93338556,15,4/11/23
raca,1,-83.87667616,35.93341088,15,4/11/23
racl,1,-83.87728737,35.93331893,15,4/11/23
racl,1,-83.87681602,35.9334616,15,4/11/23
raca,1,-83.877226,35.93338039,15,4/11/23
raca,1,-83.87698097,35.93331236,15,4/11/23
raca,1,-83.8767129,35.93348753,15,4/11/23
raca,1,-83.87704553,35.93333207,15,4/11/23
racl,1,-83.87725099,35.93331138,15,4/11/23
racl,3,-83.8768357,35.9334086,15,4/11/23
raca,1,-83.87730715,35.93327614,15,4/11/23
racl,3,-83.87683516,35.93333863,15,4/11/23
racl,3,-83.87690253,35.93338148,15,4/11/23
racl,1,-83.87723047,35.93336834,15,4/11/23
racl,3,-83.87722886,35.93302938,15,4/11/23
racl,1,-83.87746727,35.93336323,15,4/11/23
pscr,1,-83.87676027,35.93346323,15,4/11/23
raca,1,-83.87748407,35.93325713,15,4/11/23
raca,1,-83.87659704,35.93343735,15,4/11/23
pscr,2,-83.87704416,35.93335387,15,4/11/23
racl,1,-83.87748345,35.93325034,15,4/11/23
racl,1,-83.87746786,35.93332298,15,4/11/23
racl,1,-83.87739382,35.93325678,15,4/11/23
raca,1,-83.8768543,35.93342471,15,4/11/23
raca,1,-83.87694547,35.9333831,15,4/11/23
raca,1,-83.8768798,35.9334358,15,4/11/23
racl,1,-83.87751789,35.93331752,15,4/11/23
raca,1,-83.87668731,35.93347322,15,4/11/23
raca,1,-83.8771954,35.93328441,15,4/11/23
racl,2,-83.87737344,35.93330656,15,4/11/23
raca,1,-83.87717579,35.93330532,15,4/11/23
raca,1,-83.87698363,35.93340143,15,4/11/23
raca,1,-83.87705126,35.93335472,15,4/11/23
pscr,1,-83.8770411,35.93337421,15,4/11/23
racl,1,-83.87702443,35.93337121,15,4/11/23
racl,1,-83.8772294,35.9332685,15,4/11/23
racl,1,-83.87678461,35.9334613,15,4/11/23
racl,1,-83.87690198,35.93343226,15,4/11/23
raca,1,-83.8771398,35.93330999,15,4/11/23
raca,1,-83.87715568,35.93329094,15,4/11/23
racl,2,-83.87733166,35.93331717,15,4/11/23
racl,1,-83.87737486,35.93332726,15,4/11/23
raca,1,-83.8773299,35.93327949,15,4/11/23
pscr,2,-83.87694102,35.93322245,15,4/12/23
pscr,1,-83.87688938,35.9332505,15,4/12/23
raca,1,-83.87686478,35.93328282,15,4/12/23
racl,2,-83.87689857,35.93325923,15,4/12/23
raca,1,-83.87671248,35.93337402,15,4/12/23
racl,2,-83.87723162,35.9331762,15,4/12/23
pscr,1,-83.87719097,35.93318285,15,4/12/23
pscr,2,-83.8767666,35.93331962,15,4/12/23
racl,2,-83.877144,35.93325418,15,4/12/23
pscr,1,-83.87698394,35.93320353,15,4/12/23
raca,2,-83.87709978,35.93328372,15,4/12/23
racl,1,-83.87704239,35.93322859,15,4/12/23
pscr,3,-83.8767106,35.93338992,15,4/12/23
racl,1,-83.87679726,35.93330853,15,4/12/23
pscr,1,-83.87735383,35.93310722,15,4/12/23
raca,1,-83.87680505,35.93327415,15,4/12/23
raca,1,-83.87685551,35.9332607,15,4/12/23
raca,2,-83.87716198,35.93318865,15,4/12/23
racl,2,-83.87727069,35.93318671,15,4/12/23
racl,1,-83.87672405,35.93335994,15,4/12/23
racl,2,-83.8773483,35.93322078,15,4/12/23
pscr,1,-83.87661675,35.93333407,15,4/12/23
pscr,1,-83.87719741,35.93320384,15,4/12/23
raca,1,-83.87664576,35.93335829,15,4/12/23
racl,1,-83.87672685,35.93335513,15,4/12/23
racl,3,-83.87672835,35.93336067,15,4/12/23
raca,1,-83.87699433,35.9333967,15,4/12/23
raca,1,-83.87696123,35.93341398,15,4/12/23
pscr,1,-83.87666235,35.93346157,15,4/12/23
pscr,1,-83.87685128,35.9334074,15,4/12/23
pscr,3,-83.87698894,35.93338682,15,4/12/23
raca,1,-83.87745028,35.93324738,15,4/12/23
pscr,1,-83.87744878,35.93331277,15,4/12/23
raca,1,-83.87708358,35.93330065,15,4/12/23
raca,1,-83.87705332,35.93335251,15,4/12/23
pscr,2,-83.87692083,35.933408,15,4/12/23
raca,1,-83.87687523,35.93341597,15,4/12/23
pscr,1,-83.87737273,35.93334729,15,4/12/23
racl,1,-83.87744892,35.93339156,15,4/12/23
pscr,1,-83.87730187,35.93331625,15,4/12/23
raca,1,-83.87717369,35.93327638,15,4/12/23
racl,1,-83.87737244,35.93321117,15,4/12/23
raca,1,-83.87679388,35.93342236,15,4/12/23
racl,1,-83.87745542,35.93328155,15,4/12/23
raca,1,-83.87713769,35.93327583,15,4/12/23
raca,1,-83.87669712,35.93350459,15,4/12/23
racl,1,-83.87748734,35.9333209,15,4/12/23
racl,1,-83.8766801,35.93345808,15,4/12/23
racl,1,-83.87684769,35.93341045,15,4/12/23
raca,1,-83.87666945,35.93348648,15,4/12/23
racl,1,-83.87733815,35.93334066,15,4/12/23
raca,1,-83.87686144,35.93340139,15,4/12/23
racl,1,-83.87733336,35.93334867,15,4/12/23
raca,1,-83.87729257,35.93332165,15,4/12/23
NA,1,-83.87720889,35.93329555,15,4/12/23
racl,2,-83.87733999,35.93336983,15,4/12/23
raca,1,-83.87713142,35.93326098,15,4/12/23
racl,1,-83.87708517,35.93328721,15,4/12/23
raca,1,-83.8767267,35.93346735,15,4/12/23
raca,1,-83.87658287,35.93345258,15,4/12/23
racl,1,-83.87740859,35.93338267,15,4/12/23
racl,1,-83.87660833,35.93337387,15,4/12/23
raca,1,-83.93989861,35.93576498,2,4/25/23
racl,1,-83.94003706,35.93575643,2,4/25/23
raca,1,-83.93992056,35.93566588,2,4/25/23
racl,1,-83.94002509,35.93572101,2,4/26/23
racl,1,-83.94002491,35.93579415,2,4/26/23
pscr,1,-83.94015457,35.93575958,2,4/26/23
pscr,2,-83.9398133,35.93562707,2,4/26/23
raca,2,-83.93982536,35.93566503,2,4/26/23
racl,1,-83.93988636,35.93563435,2,4/26/23
pscr,1,-83.93995634,35.93555544,2,4/26/23
pscr,1,-83.93997507,35.93554224,2,4/26/23
racl,3,-83.86849991,35.95658674,7,5/2/23
racl,1,-83.86836406,35.95669695,7,5/2/23
racl,2,-83.86814304,35.95682494,7,5/2/23
racl,1,-83.86823792,35.95685241,7,5/2/23
raca,1,-83.86813294,35.95673942,7,5/2/23
racl,1,-83.86824482,35.95679747,7,5/2/23
